image_dimension,xgb_importance,violence against women,physical aggression,body shaming,fat shaming,gender stereotype,woman in the kitchen,woman doing housework,sexual objectification,revealing clothing,derogatory gesture,insulting text,smiling woman,angry man,cartoon drawing,photograph of a person,text overlay on image,pornographic content,neutral everyday scene
635,0.016708,-0.069397,-0.001027,-0.023585,0.012428,0.004528,-0.020680,-0.010211,-0.071021,-0.042870,-0.004204,-0.010349,-0.041737,0.007075,0.016037,-0.058245,0.011842,-0.014413,0.036638
703,0.011575,-0.005159,-0.038173,-0.054601,-0.061141,-0.034694,-0.087228,-0.064551,-0.045627,-0.044038,-0.070623,-0.056767,-0.018938,-0.130772,-0.058832,-0.034872,-0.035549,-0.078359,-0.066806
624,0.008215,0.046096,0.023025,-0.005067,-0.001229,0.014218,-0.000297,-0.031750,0.015451,-0.011856,-0.045015,-0.024713,-0.024287,-0.017343,-0.068286,-0.009343,-0.028895,-0.018870,-0.048694
361,0.007423,-0.034202,-0.028299,-0.007970,0.012493,-0.061710,-0.031807,-0.034043,-0.039816,-0.007802,-0.027684,-0.035470,-0.047732,-0.038601,-0.009946,-0.040801,-0.037203,-0.026968,0.002265
363,0.007035,-0.030520,-0.025920,-0.017449,-0.010740,-0.028054,-0.012732,-0.030441,-0.043227,-0.037961,-0.041104,-0.031161,-0.003541,-0.039881,-0.035173,-0.022569,0.030469,0.024240,-0.011826
195,0.006082,-0.135823,-0.139236,-0.162678,-0.154479,-0.145145,-0.080137,-0.098405,-0.152055,-0.152052,-0.156163,-0.127527,-0.075374,-0.153888,-0.124102,-0.125041,-0.166343,-0.130607,-0.094137
329,0.005760,-0.038703,-0.030223,-0.045636,-0.031367,-0.013965,-0.035603,-0.009806,-0.026330,-0.031922,-0.037218,-0.003283,-0.003068,0.005219,-0.050654,0.010707,0.015552,-0.015629,-0.031933
39,0.005744,-0.018351,0.017226,0.022306,0.045154,-0.038559,0.003607,-0.009143,-0.040452,-0.033499,0.014701,0.026203,0.009070,0.014242,-0.017545,-0.015576,-0.009370,-0.016769,-0.018265
755,0.005232,-0.043109,0.000832,-0.018414,-0.010623,-0.031493,-0.122625,-0.081404,-0.042028,-0.043357,-0.004881,-0.007418,-0.138362,0.031755,-0.048128,-0.052965,-0.041256,-0.035375,0.008889
545,0.005053,0.011442,-0.009416,0.013896,0.009181,0.004265,-0.009443,-0.008674,0.002022,0.011610,0.033933,0.009406,0.026377,0.000409,0.006741,0.027225,-0.022618,0.008097,-0.001983
669,0.005024,-0.001353,0.019035,0.003625,0.007920,-0.008616,0.000093,0.057533,-0.015282,0.026753,0.006781,0.018125,0.042429,0.002818,0.054288,0.048724,0.028069,0.009930,0.008929
588,0.004894,0.013718,0.000258,-0.025691,-0.050292,0.004727,0.032396,0.007073,0.007561,0.006197,-0.013187,-0.040455,-0.003971,0.001369,0.022313,0.048209,-0.006773,0.007114,0.023858
201,0.004637,0.070956,0.053800,0.060469,0.049834,0.076132,0.035297,0.057201,0.079818,0.069240,0.076157,0.066033,0.028312,0.069794,0.067166,0.045787,-0.013208,-0.004856,0.041413
420,0.004307,0.010945,0.016838,0.025799,0.034781,0.008146,-0.037280,-0.048675,0.023955,0.010574,-0.018136,0.003796,-0.026497,-0.043106,0.011484,-0.050146,-0.004219,-0.012946,-0.007224
310,0.004142,-0.004272,-0.004459,0.009625,0.005934,-0.005780,-0.024464,-0.022156,-0.019333,0.007432,0.004857,0.000636,0.012902,0.017296,-0.007344,-0.033596,-0.006587,-0.030102,0.011449
467,0.004020,-0.008674,0.010415,-0.009327,-0.002542,0.004965,-0.096641,-0.089586,-0.008281,-0.022136,0.023838,-0.015199,-0.090037,0.096919,0.019618,-0.006245,0.031325,0.032397,-0.077712
186,0.003956,-0.044608,-0.033708,-0.014969,-0.021267,-0.031389,-0.041998,-0.018645,-0.029833,0.038433,-0.036919,-0.017548,-0.050365,-0.015813,0.014263,-0.044625,0.012269,-0.059811,-0.004459
556,0.003873,-0.037491,-0.000436,-0.000789,-0.024272,0.001260,-0.012857,-0.020577,0.009617,0.026359,-0.012673,-0.055309,-0.025591,-0.013174,0.005795,0.028650,-0.002340,-0.021905,0.016148
508,0.003759,-0.001617,0.032562,-0.025165,-0.055837,0.003360,-0.086238,-0.049247,-0.000468,0.019864,-0.040023,-0.039589,-0.066021,0.014255,0.026801,-0.003947,-0.038877,-0.037814,-0.004533
233,0.003649,0.025348,0.014506,0.000717,0.002575,0.048113,-0.021143,0.009892,0.023606,0.032278,0.049908,-0.005198,-0.014034,0.001014,0.035191,-0.047272,0.011923,-0.005389,-0.028013
