Model,Origin,Test MAMI Score B,Test Macro-F1,Test Exact Match,Val MAMI Score B,Val Macro-F1,Val Exact Match
Qwen2-VL-7B QLoRA (Fine-Tuned),Ours (VLM),0.7428,0.6014,50.20%,0.7686,0.5907,65.40%
Tabular: Support Vector Machine - RBF SVC,Traditional ML,0.7321,0.5958,45.40%,0.7701,0.6044,62.70%
Tabular: Linear Discriminant Analysis,Traditional ML,0.7108,0.5636,44.20%,0.7397,0.5595,59.30%
Tabular: Neural Network - MLPClassifier,Traditional ML,0.7076,0.5530,45.00%,0.7334,0.5465,59.00%
Tabular: Ridge Classifier,Traditional ML,0.6825,0.5440,32.80%,0.7104,0.5268,44.70%
Tabular: Gaussian Naive Bayes,Traditional ML,0.6644,0.5361,29.90%,0.6946,0.5013,49.90%
Tabular: Bernoulli Naive Bayes,Traditional ML,0.6668,0.5360,31.60%,0.6999,0.5090,50.90%
Qwen2-VL-2B QLoRA (Fine-Tuned),Ours (VLM),0.6893,0.5263,45.90%,0.7384,0.5353,64.40%
Tabular: KNN,Traditional ML,0.6952,0.5185,41.50%,0.7013,0.4719,58.50%
Tabular: Logistic Regression,Traditional ML,0.6812,0.5162,34.50%,0.7073,0.5137,46.50%
Qwen2-VL-7B (Zero-Shot),Ours (VLM),0.6090,0.5151,26.10%,0.6347,0.4793,39.30%
Tabular: Perceptron,Traditional ML,0.6509,0.5113,26.60%,0.6707,0.4919,38.90%
"CLIP ViT-L-14 (Fine-Tuned, Mean)",Ours (CLIP),0.6165,0.5072,17.00%,0.6706,0.4908,30.87%
Tabular: Support Vector Machine - LinearSVC,Traditional ML,0.6729,0.5061,34.60%,0.7041,0.5124,45.80%
Gemini 1.5 Pro (Zero-Shot),Ours (API),0.6730,0.5015,42.80%,0.7175,0.4877,58.00%
Tabular: SGD Classifier,Traditional ML,0.6564,0.4989,30.80%,0.6784,0.4912,43.40%
Tabular: AdaBoost Classifier,Traditional ML,0.6845,0.4954,45.90%,0.6862,0.4444,57.40%
Tabular: LightGBM,Traditional ML,0.6945,0.4894,50.70%,0.7017,0.4529,62.90%
Tabular: XGBoost,Traditional ML,0.6843,0.4876,49.90%,0.7048,0.4564,62.00%
Tabular: PassiveAggressiveClassifier,Traditional ML,0.6140,0.4792,19.90%,0.6331,0.4382,30.10%
Tabular: Hist Gradient Boosting Classifier,Traditional ML,0.6840,0.4687,49.70%,0.7049,0.4474,62.30%
"CLIP ViT-B-32 (Fine-Tuned, Mean)",Ours (CLIP),0.5396,0.4677,10.07%,0.6206,0.4445,24.23%
Tabular: Gradient Boosting Classifier,Traditional ML,0.6782,0.4629,50.30%,0.6939,0.4339,61.60%
CLIP ViT-B-32 (Zero-Shot),Ours (CLIP),0.5110,0.4067,11.30%,0.5248,0.3588,15.00%
Tabular: Decision Tree,Traditional ML,0.6193,0.4045,32.40%,0.6126,0.3578,40.10%
CLIP ViT-L-14 (Zero-Shot),Ours (CLIP),0.5168,0.3837,9.20%,0.5204,0.3215,17.60%
"Qwen2-VL-2B (Zero-Shot, PaddleOCR)",Ours (VLM),0.4317,0.3637,14.40%,N/A,N/A,N/A
VisualBERT (Zero-Shot),Ours (VLM),0.4377,0.3347,12.50%,0.1788,0.2874,1.00%
Tabular: Bagging Classifier,Traditional ML,0.6070,0.3177,48.50%,0.6244,0.3053,58.30%
Tabular: Extra Tree Classifier,Traditional ML,0.5464,0.3076,25.00%,0.5748,0.2912,35.90%
Tabular: Random Forest,Traditional ML,0.5777,0.2528,51.90%,0.5693,0.2029,57.70%
Tabular: Extra Trees Classifier,Traditional ML,0.5467,0.1940,50.50%,0.5485,0.1587,56.80%
LLaVA-1.5-7B (Zero-Shot),Ours (VLM),0.5049,0.1396,50.80%,0.4691,0.1278,48.40%
Qwen2-VL-2B (Zero-Shot),Ours (VLM),0.4425,0.0682,49.90%,0.4606,0.0533,52.30%
LLaVA-1.5-7B QLoRA (Fine-Tuned),Ours (VLM),0.4171,0.0043,50.10%,0.4439,0.0088,52.20%
SRCB 2022 — UNITER+CLIP+BERT ensemble (SemEval Winner),SOTA Literature,0.7310,N/A,N/A,N/A,N/A,N/A
TIB-VA 2022 — CLIP ViT-L/14 + LSTM,SOTA Literature,0.7310,N/A,N/A,N/A,N/A,N/A
DD-TIG 2022 — multimodal + augmentation,SOTA Literature,0.7280,N/A,N/A,N/A,N/A,N/A
UniBO 2022 — MMBT (BERT+CLIP),SOTA Literature,0.7100,N/A,N/A,N/A,N/A,N/A
MilaNLP 2022 — multimodal transformer,SOTA Literature,0.6930,N/A,N/A,N/A,N/A,N/A
