epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.37622,0.69683,2.11473,1.34615,0.00321,0.96333,0.23159,0.10504,1.73521,4.02012,1.49508,0.00036,0.00036,0.00036
2,14.2514,0.26525,0.84983,1.01257,0.92365,0.96667,0.96601,0.58679,0.78002,1.89154,0.92833,0.000725348,0.000725348,0.000725348
3,17.5386,0.28484,0.75734,1.01711,0.83514,0.96251,0.89353,0.69511,0.52471,1.28221,0.74884,0.00107565,0.00107565,0.00107565
4,20.9772,0.28613,0.74067,1.01621,0.60793,0.73667,0.67818,0.39596,1.62308,2.11841,2.10632,0.0014109,0.0014109,0.0014109
5,24.1748,0.29342,0.68451,1.00504,0.68244,0.8238,0.74417,0.54564,0.86243,1.65877,1.06919,0.0017311,0.0017311,0.0017311
6,27.5074,0.26073,0.63764,0.9779,0.43899,0.49,0.40007,0.14715,1.98219,3.81945,2.51614,0.001802,0.001802,0.001802
7,30.5023,0.23914,0.5639,0.97236,0.98204,0.97,0.98967,0.92519,0.37561,0.7877,0.51346,0.0017624,0.0017624,0.0017624
8,33.5416,0.24584,0.5631,0.98916,0.83207,0.92333,0.93037,0.70367,0.66533,1.15757,0.82151,0.0017228,0.0017228,0.0017228
9,36.6011,0.23565,0.51562,0.97157,0.92073,0.92926,0.97726,0.85515,0.40382,1.19576,0.57168,0.0016832,0.0016832,0.0016832
10,39.6652,0.234,0.484,0.96207,0.9602,0.97667,0.99248,0.90436,0.45599,0.88652,0.65955,0.0016436,0.0016436,0.0016436
11,42.7751,0.22567,0.46727,0.96416,0.99334,0.99498,0.99497,0.92436,0.59021,0.86442,0.77844,0.001604,0.001604,0.001604
12,45.8005,0.22137,0.43884,0.96396,0.78919,0.84667,0.84217,0.60166,0.73679,1.14877,0.85606,0.0015644,0.0015644,0.0015644
